n,a_n,b_n,ratio_n2,ratio_n2logn,ratio_n2p5
207,177953,177746,4.15302574,0.77878206,0.28865524
208,182377,182169,4.21544471,0.78977323,0.29228850
209,625,416,0.01430828,0.00267828,0.00098972
210,307,97,0.00696145,0.00130191,0.00048039
211,191853,191642,4.30926978,0.80519133,0.29666237
212,225,13,0.00500623,0.00093459,0.00034383
213,192538,192325,4.24382287,0.79156717,0.29078195
214,196986,196772,4.30138003,0.80160255,0.29403629
215,202126,201911,4.37265549,0.81417803,0.29821263
216,416,200,0.00891632,0.00165877,0.00060668
217,225,8,0.00477819,0.00088816,0.00032436
218,935,717,0.01967427,0.00365387,0.00133251
219,444,225,0.00925752,0.00171783,0.00062557
220,214796,214576,4.43793388,0.82281059,0.29920544
221,225,4,0.00460679,0.00085340,0.00030989
222,223030,222808,4.52540378,0.83762243,0.30372522
223,225,2,0.00452452,0.00083676,0.00030298
224,225,1,0.00448422,0.00082862,0.00029961
225,1675,1450,0.03308642,0.00610890,0.00220576
226,307,81,0.00601065,0.00110887,0.00039982
227,232378,232151,4.50965476,0.83128043,0.29931630
228,241429,241201,4.64429440,0.85540592,0.30757591
229,1721,1492,0.03281783,0.00603966,0.00216866
230,247318,247088,4.67519849,0.85971502,0.30827346
231,259292,259061,4.85920429,0.89283928,0.31971217
232,261874,261642,4.86537604,0.89326430,0.31942759
233,276315,276082,5.08970510,0.93371293,0.33343767
234,281793,281559,5.14634013,0.94336154,0.33642678
235,679,444,0.01229516,0.00225203,0.00080205
236,333,97,0.00597889,0.00109427,0.00038919
237,285008,284771,5.07411562,0.92795534,0.32959923
238,290339,290101,5.12567968,0.93666414,0.33224847
239,303020,302781,5.30487912,0.96866875,0.34314410
240,1175,935,0.02039931,0.00372207,0.00131677
241,307,66,0.00528572,0.00096370,0.00034048
242,308371,308129,5.26553856,0.95930011,0.33848164
243,321815,321572,5.44996528,0.99215444,0.34961544
244,444,200,0.00745767,0.00135664,0.00047743
245,324374,324129,5.40398167,0.98231740,0.34524772
246,10156,9910,0.16782339,0.03048379,0.01070003
247,332439,332192,5.44901572,0.98904187,0.34671257
248,340183,339935,5.53107115,1.00319990,0.35122337
249,350537,350288,5.65373139,1.02469953,0.35829067
250,416,166,0.00665600,0.00120548,0.00042096
251,356293,356042,5.65535468,1.02350970,0.35696282
252,333,81,0.00524376,0.00094834,0.00033033
253,359021,358768,5.60891437,1.01364894,0.35262943
254,380309,380055,5.89480129,1.06455580,0.36987273
255,388969,388714,5.98183775,1.07950790,0.37459721
256,935,679,0.01426697,0.00257286,0.00089169
257,974,717,0.01474663,0.00265749,0.00091987
258,395027,394769,5.93454420,1.06871734,0.36946858
259,592,333,0.00882515,0.00158816,0.00054837
260,396912,396652,5.87147929,1.05589201,0.36413369
261,407870,407609,5.98743412,1.07600183,0.37061287
262,307,45,0.00447235,0.00080317,0.00027630
263,679,416,0.00981654,0.00176171,0.00060531
264,411863,411599,5.90942091,1.05980539,0.36369972
265,427170,426905,6.08287647,1.09017402,0.37366813
266,430176,429910,6.07971055,1.08887160,0.37277097
267,333,66,0.00467113,0.00083603,0.00028587
268,455815,455547,6.34627701,1.13509064,0.38766057
269,469048,468779,6.48205525,1.15860405,0.39521788
270,477315,477045,6.54753086,1.16953151,0.39847004
271,1721,1450,0.02343378,0.00418302,0.00142350
272,416,144,0.00562284,0.00100304,0.00034093
273,717,444,0.00962042,0.00171503,0.00058225
274,484106,483832,6.44821248,1.14877344,0.38955076
275,1450,1175,0.01917355,0.00341363,0.00115621
276,307,31,0.00403014,0.00071706,0.00024259
277,486395,486118,6.33912862,1.12715307,0.38088132
278,444,166,0.00574504,0.00102087,0.00034456
279,504303,504024,6.47862951,1.15048586,0.38786540
280,1772,1492,0.02260204,0.00401116,0.00135073
281,518853,518572,6.57100341,1.16541151,0.39199320
282,529292,529010,6.65575172,1.17969893,0.39634425
283,537967,537684,6.71711471,1.18982869,0.39929102
284,546282,545998,6.77298651,1.19897635,0.40190281
